tema;data;link;duration;tags
Criando aplicações de linha de comando (CLIs) com Typer | Live de Python #233;20230502;http://youtu.be/m1_48lmAX-Y;7980;python, live de python, dunossauro, CLIs, aplicaçãos de linha de comando, typer, Criando aplicação, 12 fatores de clis, CLI Guideline
Live de Python especial de aniversário: 6 anos de projeto;20230425;http://youtu.be/KG2UTmcVBQI;9200;python, live de python, dunossauro
Uma introdução aos testes: Como fazer? | Live de Python #232;20230417;http://youtu.be/-8H2Pyxnoek;7475;python, live de python, dunossauro, perguntas frequentes, Testes
Me pergunte o que quiser sobre Python | Live de Python #231;20230410;http://youtu.be/txCLMLyLA94;8470;python, live de python, dunossauro, FAQ, Pergunte o que quiser, perguntas frequentes
Retrospectiva 2022 | Live de Python;20221226;http://youtu.be/xjyQDLYfG9w;6360;python, live de python, dunossauro, FAQ, Pergunte o que quiser, perguntas frequentes
Me pergunte o que quiser sobre Python | Live de Python #230;20221219;http://youtu.be/AIzzrERANVs;8075;python, live de python, dunossauro, FAQ, Pergunte o que quiser, perguntas frequentes
Scapy: Programando protocolos de rede  | Live de Python #229;20221212;http://youtu.be/2GWp3ozCeRY;10270;python, live de python, dunossauro, scapy, protocolos, rede, sniffing, programação
Pyinstaller: como gerar executáveis  | Live de Python #228;20221207;http://youtu.be/oZw_mcH2Irs;7855;python, live de python, dunossauro, pyinstaller, hooks, bootloader, executaveis, exe, onefile, bundle
Streamlit: Criando aplicações web  | Live de Python #227;20221128;http://youtu.be/Ie5ef_R_k6I;7620;python, live de python, dunossauro, web, streamlit, data apps
spaCy: Introdução a Processamento de Linguagem Natural  | Live de Python #226;20221121;http://youtu.be/Vr9QXpELdrs;7050;python, live de python, dunossauro, PNL, NLP, spaCy, processamento de linguagem natural, Natural language process, Português, portuguese
Ansible: Automatizando tarefas  | Live de Python #225;20221116;http://youtu.be/Rf1GDT8wiFU;9704;python, live de python, dunossauro, ansible, vagrant, automação, playbooks, roles
Rich: fazendo prints incríveis  | Live de Python #224;20221107;http://youtu.be/gadMAObZ_1Y;7270;python, live de python, dunossauro, rich, terminal, textos ricos, prints, print
Pergunte o que quiser sobre Python  | Live de Python #223;20221025;http://youtu.be/ZJqSlzBDY-g;7670;python, live de python, dunossauro, FAQ
Automação de browsers com Playwright | Live de Python #222;20221010;http://youtu.be/Br0cJo2YeNg;6755;python, live de python, dunossauro, playwright, automação, browsers, navegador, navegadores
Introdução ao Pandas | Live de Python #221;20221003;http://youtu.be/GhKVR72eJmA;7590;python, live de python, dunossauro, pandas, dataframes, series, numpy, arrays
Novidades Python 3.11 | Live de Python #220;20220919;http://youtu.be/7BfiLFiqGRU;7635;python, live de python, dunossauro, Pathlib, Functools, singledispatch, glob, Contextlib, chdir, tomllib, asyncio, TaskGroup, ExceptionsGroups, TypedDict, TypeVarTuple
O que você gostaria de saber sobre Python? | Live de Python #219;20220912;http://youtu.be/vT8iVef1GyU;7180;python, live de python, dunossauro
Como o interpretador do Python funciona? | Live de Python #218;20220905;http://youtu.be/pxfZTAJDipY;8585;python, live de python, dunossauro, CPython, AST, CFG, Interpretador, Execução do código python, stack machine, frames
