ano,mes,dia,temp_MAX,temp_MIN,temp_MED
1917.0,1,1,30.5,18.799999237060547,24.649999618530273
1917.0,1,2,28.200000762939453,18.399999618530273,23.299999237060547
1917.0,1,3,30.5,17.799999237060547,24.149999618530273
1917.0,1,4,29.799999237060547,19.0,24.399999618530273
1917.0,1,5,28.200000762939453,19.0,23.600000381469727
1917.0,1,6,25.5,18.600000381469727,22.049999237060547
1917.0,1,7,24.399999618530273,18.600000381469727,21.5
1917.0,1,8,26.200000762939453,18.5,22.350000381469727
1917.0,1,9,25.399999618530273,16.0,20.700000762939453
1917.0,1,10,27.5,15.0,21.25
1917.0,1,11,24.799999237060547,16.0,20.399999618530273
1917.0,1,12,27.799999237060547,16.5,22.149999618530273
1917.0,1,13,28.0,15.800000190734863,21.899999618530273
1917.0,1,14,27.0,17.5,22.25
1917.0,1,15,29.200000762939453,16.200000762939453,22.700000762939453
1917.0,1,16,30.399999618530273,17.799999237060547,24.099998474121094
1917.0,1,17,29.0,18.5,23.75
1917.0,1,18,27.5,18.5,23.0
1917.0,1,19,27.799999237060547,20.0,23.899999618530273
1917.0,1,20,30.799999237060547,17.799999237060547,24.299999237060547
1917.0,1,21,30.0,15.0,22.5
1917.0,1,22,26.799999237060547,18.5,22.649999618530273
1917.0,1,23,29.200000762939453,17.200000762939453,23.200000762939453
1917.0,1,24,29.799999237060547,19.5,24.649999618530273
1917.0,1,25,28.0,19.799999237060547,23.899999618530273
1917.0,1,26,30.399999618530273,20.200000762939453,25.299999237060547
1917.0,1,27,26.399999618530273,20.799999237060547,23.599998474121094
1917.0,1,28,25.799999237060547,21.200000762939453,23.5
1917.0,1,29,27.5,20.399999618530273,23.950000762939453
1917.0,1,30,29.799999237060547,19.0,24.399999618530273
1917.0,1,31,29.200000762939453,20.0,24.600000381469727
1917.0,2,1,30.399999618530273,20.0,25.200000762939453
1917.0,2,2,30.5,19.0,24.75
1917.0,2,3,30.0,18.0,24.0
1917.0,2,4,29.799999237060547,20.0,24.899999618530273
1917.0,2,5,32.20000076293945,17.799999237060547,25.0
1917.0,2,6,24.799999237060547,16.799999237060547,20.799999237060547
1917.0,2,7,23.5,16.799999237060547,20.149999618530273
1917.0,2,8,29.0,17.0,23.0
1917.0,2,9,30.200000762939453,15.399999618530273,22.799999237060547
1917.0,2,10,29.799999237060547,17.0,23.399999618530273
1917.0,2,11,30.5,17.399999618530273,23.950000762939453
1917.0,2,12,29.5,19.0,24.25
1917.0,2,13,25.200000762939453,19.0,22.100000381469727
1917.0,2,14,26.399999618530273,20.0,23.200000762939453
1917.0,2,15,28.200000762939453,19.799999237060547,24.0
1917.0,2,16,28.600000381469727,18.5,23.549999237060547
1917.0,2,17,29.399999618530273,16.200000762939453,22.799999237060547
1917.0,2,18,28.600000381469727,16.200000762939453,22.400001525878906
1917.0,2,19,29.600000381469727,17.799999237060547,23.700000762939453
1917.0,2,20,28.0,16.600000381469727,22.299999237060547
1917.0,2,21,27.5,17.399999618530273,22.450000762939453
1917.0,2,22,25.600000381469727,18.600000381469727,22.100000381469727
1917.0,2,23,29.200000762939453,20.0,24.600000381469727
1917.0,2,24,27.399999618530273,20.0,23.700000762939453
1917.0,2,25,27.0,20.0,23.5
1917.0,2,26,26.399999618530273,20.799999237060547,23.599998474121094
1917.0,2,27,27.600000381469727,20.0,23.799999237060547
1917.0,2,28,27.600000381469727,19.0,23.299999237060547
1917.0,3,1,25.5,18.799999237060547,22.149999618530273
1917.0,3,2,30.200000762939453,18.799999237060547,24.5
1917.0,3,3,30.200000762939453,17.600000381469727,23.900001525878906
1917.0,3,4,30.200000762939453,17.0,23.600000381469727
1917.0,3,5,31.200000762939453,16.799999237060547,24.0
1917.0,3,6,31.799999237060547,16.600000381469727,24.200000762939453
1917.0,3,7,31.799999237060547,18.600000381469727,25.200000762939453
1917.0,3,8,31.799999237060547,17.0,24.399999618530273
1917.0,3,9,33.5,18.600000381469727,26.049999237060547
1917.0,3,10,31.0,20.5,25.75
1917.0,3,11,30.600000381469727,19.200000762939453,24.900001525878906
1917.0,3,12,32.5,18.399999618530273,25.450000762939453
1917.0,3,13,31.799999237060547,18.0,24.899999618530273
1917.0,3,14,27.5,19.200000762939453,23.350000381469727
1917.0,3,15,25.5,17.5,21.5
1917.0,3,16,26.399999618530273,16.5,21.450000762939453
1917.0,3,17,18.200000762939453,15.399999618530273,16.799999237060547
1917.0,3,18,25.0,15.0,20.0
1917.0,3,19,28.200000762939453,14.600000381469727,21.400001525878906
1917.0,3,20,24.0,16.0,20.0
1917.0,3,21,25.5,17.5,21.5
1917.0,3,22,27.399999618530273,14.600000381469727,21.0
1917.0,3,23,26.399999618530273,14.0,20.200000762939453
1917.0,3,24,27.200000762939453,13.600000381469727,20.400001525878906
1917.0,3,25,25.0,18.399999618530273,21.700000762939453
1917.0,3,26,28.0,18.0,23.0
1917.0,3,27,28.600000381469727,14.600000381469727,21.600000381469727
1917.0,3,28,30.200000762939453,15.199999809265137,22.700000762939453
1917.0,3,29,31.5,14.600000381469727,23.049999237060547
1917.0,3,30,31.200000762939453,15.600000381469727,23.400001525878906
1917.0,3,31,31.0,16.1,23.55
1917.0,4,1,30.0,16.5,23.25
1917.0,4,2,24.600000381469727,15.600000381469727,20.100000381469727
1917.0,4,3,27.5,17.0,22.25
1917.0,4,4,30.0,18.0,24.0
1917.0,4,5,30.0,16.200000762939453,23.100000381469727
1917.0,4,6,27.399999618530273,20.0,23.700000762939453
1917.0,4,7,27.5,19.200000762939453,23.350000381469727
